Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
NQ 03-24,Buy,1,16793.00,1/17/2024 1:10:38 PM,41044850007,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,16793.75,1/17/2024 1:10:39 PM,41044850014,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,2,16776.50,1/17/2024 1:15:42 PM,41044850035,Exit,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,16772.00,1/17/2024 1:27:11 PM,41044850048,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,16771.25,1/17/2024 1:27:12 PM,41044850054,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,16765.50,1/17/2024 1:29:19 PM,41044850082,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,16759.50,1/17/2024 1:56:25 PM,41044850132,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,4758.00,1/17/2024 3:11:38 PM,41044850192,Entry,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,4768.00,1/17/2024 3:50:19 PM,41044850206,Exit,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17029.50,1/18/2024 10:19:05 AM,41044850248,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17009.00,1/18/2024 10:20:45 AM,41044850269,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4821.00,1/19/2024 10:22:41 AM,41044850296,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4821.00,1/19/2024 10:22:41 AM,41044850292,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,4829.75,1/19/2024 10:55:41 AM,41044850377,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,4829.75,1/19/2024 10:55:41 AM,41044850382,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4895.00,1/22/2024 10:10:19 AM,41044850407,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,1,4889.50,1/22/2024 10:28:54 AM,41044850451,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17465.50,1/22/2024 11:09:32 AM,41044850459,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17489.50,1/22/2024 11:22:13 AM,41044850526,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17494.75,1/22/2024 11:45:40 AM,41044850534,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17461.50,1/22/2024 12:10:19 PM,41044850579,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17479.00,1/22/2024 12:16:59 PM,41044850590,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850881,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17482.00,1/22/2024 12:17:06 PM,41044850606,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850873,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17481.50,1/22/2024 12:17:07 PM,41044850630,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17481.75,1/22/2024 12:17:07 PM,41044850624,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,2,17437.00,1/22/2024 1:28:17 PM,41044850863,Exit,-,,,$0.70,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17480.00,1/22/2024 12:17:12 PM,41044850676,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17480.50,1/22/2024 12:17:09 PM,41044850648,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850855,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850847,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Buy,1,17480.50,1/22/2024 12:18:42 PM,41044850731,Entry,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
MNQ 03-24,Sell,1,17437.00,1/22/2024 1:28:17 PM,41044850839,Exit,-,,,$0.35,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Buy,1,17438.25,1/23/2024 10:24:53 AM,41044850959,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
NQ 03-24,Sell,1,17448.00,1/23/2024 11:00:21 AM,41044851013,Exit,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4928.00,1/24/2024 11:56:02 AM,41044851026,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,1,4928.00,1/24/2024 11:56:17 AM,41044851043,Entry,-,,,$2.29,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,4924.25,1/24/2024 1:08:39 PM,41044851107,Exit,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
ES 03-24,Sell,2,4926.00,1/24/2024 1:10:16 PM,41044851117,Entry,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
ES 03-24,Buy,2,4920.00,1/24/2024 1:15:28 PM,41044851162,Exit,-,,,$4.58,1,MFFUSFEX08830007,MFFU,
