Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
CME_MINI:NQ1!,Buy,Limit,3,21412.25,,21412,Filled,5.1389,20:1,"64,236.75 USD",2025-02-03 11:47:59,2025-02-03 11:49:28,1769594117
CME_MINI:NQ1!,Sell,Stop,3,,21376.5,21377,Filled,5.1305,,,2025-02-03 11:47:59,2025-02-03 11:57:32,1769594120
CME_MINI:NQ1!,Sell,Limit,3,21534.75,,,Cancelled,,,,2025-02-03 11:47:59,2025-02-03 11:57:32,1769594121
CME_MINI:ES1!,Sell,Limit,28,6043.25,,,Cancelled,,20:1,,2025-02-03 20:58:32,2025-02-03 21:00:03,1770693565
CME_MINI:ES1!,Buy,Stop,28,,6045,,Cancelled,,,,2025-02-03 20:58:32,2025-02-03 21:00:03,1770693566
CME_MINI:ES1!,Buy,Limit,28,6035.75,,,Cancelled,,,,2025-02-03 20:58:32,2025-02-03 21:00:03,1770693567
CME:MBT1!,Sell,Limit,127,99830,,99830,Filled,5.0714,20:1,"63,392.05 USD",2025-02-04 11:55:15,2025-02-04 12:07:03,1772668521
CME:MBT1!,Buy,Stop,127,,100125,100110,Filled,5.0856,,,2025-02-04 11:55:15,2025-02-04 12:15:07,1772668522
CME:MBT1!,Buy,Limit,127,98870,,,Cancelled,,,,2025-02-04 11:55:15,2025-02-04 12:15:07,1772668523
CME:MBT1!,Buy,Limit,78,98665,,98665,Filled,3.0783,20:1,"38,479.35 USD",2025-02-04 15:31:09,2025-02-04 15:33:40,1773285015
CME:MBT1!,Sell,Stop,78,,99295,99290,Filled,3.0978,,,2025-02-04 15:31:09,2025-02-04 15:45:20,1773285016
CME:MBT1!,Sell,Limit,78,100145,,,Cancelled,,,,2025-02-04 15:31:09,2025-02-04 15:45:20,1773285017
CME:MBT1!,Sell,Limit,99,98615,,,Cancelled,,20:1,,2025-02-05 11:04:22,2025-02-05 11:06:09,1775408569
CME:MBT1!,Buy,Stop,99,,98865,,Cancelled,,,,2025-02-05 11:04:22,2025-02-05 11:06:09,1775408570
CME:MBT1!,Buy,Limit,99,97700,,,Cancelled,,,,2025-02-05 11:04:22,2025-02-05 11:06:09,1775408571
CME:MBT1!,Sell,Limit,118,98160,,98175,Filled,4.6339,20:1,"57,914.40 USD",2025-02-05 11:15:17,2025-02-05 11:15:25,1775455217
CME:MBT1!,Buy,Stop,118,,97855,97860,Filled,4.6190,,,2025-02-05 11:15:17,2025-02-05 11:18:31,1775455218
CME:MBT1!,Buy,Limit,118,97700,,,Cancelled,,,,2025-02-05 11:15:17,2025-02-05 11:18:31,1775455219
CME:MBT1!,Buy,Limit,129,98810,,,Cancelled,,20:1,,2025-02-06 08:32:06,2025-02-06 08:33:46,1777511071
CME:MBT1!,Sell,Stop,129,,98615,,Cancelled,,,,2025-02-06 08:32:06,2025-02-06 08:33:46,1777511072
CME:MBT1!,Sell,Limit,129,99750,,,Cancelled,,,,2025-02-06 08:32:06,2025-02-06 08:33:46,1777511073
CME:MBT1!,Sell,Limit,158,99155,,99180,Filled,6.2682,20:1,"78,332.45 USD",2025-02-06 09:00:37,2025-02-06 09:00:38,1777590872
